gene_symbol,entrez_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
A2M,2,0.43145474297869896,0.5407757862577068,0.42974749444823584,0.4853238584045065,0.4663591239274059,0.4938102253597404,0.4003895317228097,0.5304749521506911,0.4867414876180158,0.4643343139846772,0.4949609410374151,0.6047427477976384,0.5485692217205934,0.5090962855054061,0.5102430709072928,0.4135650013986721,0.5382144424468516,0.5627426039069318,0.498345379090436,0.5862245994294525,0.5460714769857996,0.5325867845127861,0.5399516180001007,0.5076146295408429,0.4732177646041142,0.4636261657561851,0.5318714967416024,0.5054312393522551,0.5181225480399602,0.4879537387332493,0.4991036506641468,0.4614050372685641,0.560289332093723,0.4507123836102489,0.5172709400553717,0.487132889963381,0.5548837138135427,0.5956404156564467,0.5006516452159292,0.4033842031486847,0.5579241769446701,0.4664556363306317,0.5250934634863258,0.5944909379584046,0.4817647889102538,0.580275060753147,0.4171623425216205,0.546952285414959,0.5416081556096195,0.5708558626658177,0.5576069675415776,0.5154256676546434,0.4787358225486459,0.5270226853507726,0.5230609485243214,0.4462085393413516,0.479277557724682,0.4266296616512849,0.5483483689147469,0.4554971575371482,0.5472672747804839,0.511174851959552,0.4146416585340709,0.4663311858714817,0.5470482967689544,0.4120565302736104,0.563011015937593,0.5892675904423843,0.4956673470964707,0.4517871345312329,0.5708931987463053,0.5244685539646313,0.5251354406186075,0.5832505238397425,0.5212111487656377,0.5403830420173292,0.4695356096949374,0.4774913487322948,0.4454860208551708,0.5012422703530863,0.4605449018348451,0.5439118215558282,0.5080544942635856,0.4610314207821104,0.5844981628743632,0.5361833510317779,0.4739309226108365,0.5270281962046424,0.41965923824912976,0.4601952973854502,0.5314904320463983,0.4972640795838493,0.5516800443561821,0.4671116857808754,0.5787770117367474,0.4748140419675065,0.5786410089678059,0.3995065939306693,0.4761614063171587,0.4647052439894906,0.3538317498525944,0.4757189296282831,0.5208278945986029,0.5058494136327163,0.4991898806251818,0.4695076863927175,0.4804567923771683,0.5539242983633033,0.4899649356802517,0.4933613426078072,0.5285886659219834,0.5344279103511614,0.5444964203072796,0.5954640816262811,0.6088533876176679,0.4167615785663082,0.5460617063914508,0.34417890995673545,0.4863707130407881,0.5449553621969206,0.5657137444694681,0.4704065822058552,0.4090445098098616,0.5531633953642787,0.4640437215376254,0.5157574241545353,0.6159371677351928,0.4942480121476159
AANAT,15,0.6014838787495079,0.5335674638959265,0.6047297817472123,0.4772060207059344,0.5821384755632848,0.5400185926923972,0.5345141238680626,0.3948308450557381,0.5276850038856619,0.5816443495816321,0.5033845814210738,0.5108482960791684,0.5040975753825327,0.5600686353712951,0.379510396862064,0.5048824012146541,0.44613529228464543,0.4967134007558575,0.4860552086108578,0.6000580156006508,0.5790271010085593,0.4625783869041324,0.5380161514270317,0.5053908966079858,0.538597346575867,0.5799562245687004,0.5195167878092358,0.5322688463632892,0.4611652927545852,0.5391965833024476,0.4557156612304963,0.4449353154497305,0.5654873363281379,0.4812811351421887,0.4453372047792529,0.452270087642762,0.6847762530280193,0.3753731750015877,0.5051445138107469,0.5040836078117684,0.6340719188681506,0.6337159452693727,0.549350400312817,0.4231304000206229,0.5243441046105197,0.4822098925925492,0.3802592472417347,0.5117253589129593,0.4196936733781954,0.4737462073637219,0.5731730261256658,0.5181405698817231,0.6216402682725509,0.4258524971720657,0.3467633573438083,0.4653495047511279,0.5494850141469249,0.399790370605705,0.5886874456011589,0.4758521795881433,0.5760504702803446,0.525871420182492,0.6450737675627505,0.4939521823799847,0.4691278764737126,0.4347911143755284,0.42470711654360976,0.485881752389974,0.4686595386668108,0.2890950864029238,0.4483203406360416,0.3954324414788038,0.5285421917894864,0.5288523760905194,0.4564008766232653,0.5854149165438355,0.3884230175410616,0.4758897232523259,0.6192577927910929,0.5374966509946936,0.4369445663753438,0.5191387373027309,0.49660286146384,0.4485198108720161,0.5042232168477048,0.5758051740552036,0.5067801718321494,0.3704120903731996,0.53919427406899,0.5080764546986469,0.498664245168453,0.5299606764396961,0.5913988751081036,0.6404201015399997,0.5693274872381434,0.41857682393885576,0.6330920054806302,0.4163643551449313,0.4387622330970127,0.4771754753695602,0.5530351871981379,0.6054400477759276,0.516938302611919,0.5558963736921816,0.3809487539577531,0.5435690848609686,0.3760398514054731,0.6002739917883185,0.4501784128546393,0.4952581354227487,0.4683883877251164,0.4792933976011927,0.5991428891872832,0.4791807278115981,0.5907798925095397,0.5352650850211879,0.3183618044827256,0.4732284526818156,0.5063992750509116,0.6821828987217411,0.4119297701436301,0.4853808641207212,0.6033366948100467,0.4485610190861833,0.5290558243909412,0.5143489064957709,0.4939583508552869,0.5591577038833171
AATF,26574,0.5572042696824959,0.44986376562182345,0.5571706194743183,0.3980599877540335,0.509228716489894,0.5851736274252185,0.5560135581548417,0.5782270928471895,0.5211935916665644,0.4359575478030639,0.4699765014280137,0.5580886017779935,0.5519576685046796,0.3279763301986949,0.4991443401588685,0.4170421612983173,0.4813329375662578,0.46649786523459896,0.5366525274943666,0.5553664383368934,0.4605059341808101,0.4732953835412726,0.5454175721089896,0.3873728346124468,0.4492981688646331,0.44597135609615735,0.4623035216814259,0.4914932203991233,0.6159080899129754,0.4556974515867902,0.5357358827682656,0.5407717234368955,0.4950150395008235,0.5649873177548591,0.5700970106053904,0.5332692973923706,0.4302726702211917,0.4645652797102482,0.38620031658148796,0.5074597517998721,0.5462449348888865,0.4420114982160594,0.5066259170122005,0.4783044700729833,0.5053248448294012,0.5289463457178551,0.4159443122944509,0.3863142798657961,0.5700539298587157,0.4705792145317709,0.529305102077448,0.3952149870299445,0.3956499100693403,0.4632477240925877,0.4911561736972562,0.44325418089791213,0.3676554921622485,0.5340963901240264,0.4565454731196234,0.4569404091078427,0.4173703014527583,0.6182497413245721,0.4397951669060575,0.558439334101526,0.5267499904739165,0.4863416606257296,0.4824838549341022,0.4581642658377488,0.4943515131950776,0.5143927484576513,0.4420231052840521,0.4696143935028172,0.4473646020080206,0.5616926052668569,0.44466166956502895,0.5077028320110144,0.6270499514970064,0.4395160471386882,0.4781123937506772,0.5164551255823316,0.38734444736875373,0.4367000439691745,0.5720506459971465,0.4716552505512992,0.5956462467197413,0.5504127260719327,0.4765388643361134,0.4727036142365942,0.4698882865672445,0.4016983138563262,0.4725991244604723,0.4832259692725202,0.5908384258770993,0.4975004227203034,0.5357068164732789,0.4822121448657255,0.5147894383763831,0.4678117239286145,0.4572298917505216,0.5599747396904496,0.6232854024490092,0.5562517882674608,0.5429909256958293,0.38917087956458296,0.4809720897775965,0.5536366167508375,0.5108175577945265,0.5157113627439674,0.4664460003252794,0.6386914468801721,0.36985637905862095,0.4401369666515152,0.4547766636930074,0.4837960378344348,0.498116856503124,0.4283140422057354,0.4832065243275096,0.42871213082097204,0.4505580570720412,0.5024107519755946,0.5350789646214653,0.5250783006076681,0.4632462473720072,0.4761690124031477,0.5125980582016585,0.5296608963125569,0.5168876020879358,0.5131603633440457
ABAT,18,0.4511000514199912,0.4905099250758713,0.545341458007568,0.4816601510775605,0.4852463353918224,0.503900538043159,0.5382496080364849,0.5245305906921991,0.5089610206159184,0.4571659757265461,0.5044721439870963,0.5291110927981975,0.4906749059677672,0.5174514429781967,0.4568288515233177,0.5188482874245135,0.4507407058991827,0.4453572891981787,0.4719861460415447,0.4781641699162368,0.4504933372634414,0.5166929912642151,0.4641937820179197,0.4937279794403202,0.4722298688032562,0.4832217949123671,0.5584626688029789,0.5863659830992193,0.5177700599632701,0.5450421864205208,0.4719064297430634,0.5290106125381577,0.5051363437257957,0.5093587769066219,0.4630110609453398,0.4648746499896114,0.4899937736118965,0.43245604241014746,0.4830976159537936,0.5025166702337972,0.5085013381533342,0.4989681626757353,0.5295355369338817,0.5255167417437233,0.5219228872309005,0.5299527531869775,0.5137929635567047,0.4695573623599103,0.5020521724868287,0.4870554043248264,0.5068732809565283,0.5693191669906651,0.4894702875884013,0.4616787471848341,0.5287061987685615,0.5930081627291126,0.5286804205061091,0.5308785548677505,0.5666727037017537,0.4707386151182677,0.5005210822787197,0.4120230892753695,0.5165601920253642,0.5163418477293339,0.5104142659599463,0.4928863001952851,0.4564883018111943,0.4650626263883736,0.5070545425639972,0.5738917783812678,0.4878399157528773,0.4953502202748135,0.4850317322196372,0.4931405325857338,0.4805949489709701,0.4628145087194455,0.5767788449225995,0.4602567050159606,0.5703327374794408,0.4202084475759808,0.48820048414159095,0.501976476791544,0.5561585934686348,0.5041909125276736,0.5172132558176866,0.4576324119204101,0.5490328015128791,0.5174961056403802,0.5340406819776868,0.4516997552372474,0.4592565474341454,0.35672283897576496,0.4981522272530597,0.5482154927828047,0.555278805054641,0.5303742722240926,0.5333596251078664,0.4559993726564585,0.5071193098593879,0.5109689360618941,0.4023855763214969,0.4810638489816129,0.5240229946337618,0.5489450913290027,0.4765873581288843,0.4639764234433912,0.558887484965171,0.5151476415246934,0.4807670674510029,0.45809560311443,0.5269760036992763,0.5006945542756361,0.463830981084597,0.4527438443001372,0.4096860900540396,0.4939017121434774,0.5024979675865862,0.5010874086776705,0.5253293897308995,0.4351917961601736,0.5477956419835066,0.5162405480564476,0.5415559601148028,0.5088951719957563,0.5030666769009651,0.4754290292596691,0.5138137784860557,0.5164649796391321
ABCD1,215,0.6132533721601903,0.5315184141265725,0.4702970085733416,0.5006185391684099,0.5724561142117658,0.5046012248678042,0.5455284781849129,0.4291164959985643,0.5897786123152238,0.372189401205802,0.4820777450391122,0.2616393780676156,0.4714088572200118,0.4694528714640875,0.44329041972938943,0.495549932426261,0.5234673630454453,0.5018167742182007,0.4603206680404318,0.4159628733806745,0.4710556924440381,0.5449992577526189,0.4850144806291506,0.4965736269769326,0.5572612911145858,0.5114040623948212,0.4120830259336676,0.5990669173093474,0.5256769243189369,0.3789983932194041,0.4787083397239446,0.5420083152040227,0.4959191502631341,0.5205621074370901,0.3273585459617549,0.4831829151015021,0.5043360321417293,0.5348576495259715,0.5078667915376831,0.33438682913913864,0.4452893590791243,0.5053001411852551,0.5982054407265589,0.5689036780398632,0.3742061543244973,0.6016282783746658,0.6042810267299725,0.510155759776431,0.5867382359955362,0.4919657607537662,0.6218302235400255,0.5225546204467645,0.4498541183401392,0.3873854311609058,0.5563904574966951,0.5911812134734548,0.4740304552722011,0.4129102394741651,0.6394808356070938,0.5292469293771885,0.6466533056562076,0.5161834533681259,0.4670811810946414,0.4489454037817112,0.4457699454490183,0.5187768805961358,0.4739275209765908,0.5666827381493985,0.5428795597774824,0.509925437691448,0.5019775056288314,0.4831310543460703,0.5379904112751422,0.6639249253815587,0.4739099502287879,0.43099911024977305,0.44264303925424464,0.5226353020857425,0.3914053785295106,0.4189466934949544,0.6013168251595515,0.4111593740871285,0.5069938025852171,0.4619960683179801,0.5371478365977296,0.6525390363372108,0.5117843756118915,0.536016458020095,0.4769521913333269,0.4594537812954058,0.4342359057982115,0.5352564470584096,0.5054198375723264,0.6047696578576476,0.5640320021054809,0.5363844920602843,0.5687791890114396,0.533248852236092,0.5159812669128797,0.5009551500047577,0.42029357688469104,0.5081296477154637,0.44184974687494816,0.5243580135885568,0.6289488698557211,0.5426800644391648,0.3983531516059495,0.6587393769213639,0.6162787438141999,0.5256755791601968,0.5932569590433077,0.5195041595105102,0.5131669712572317,0.4631822422360842,0.4975944720838379,0.4534296404305885,0.510986516255135,0.5499264768689935,0.4084303402343568,0.3821307925260245,0.39275925871884293,0.4686352254161432,0.4219367083582053,0.5406977119716585,0.4114604844218471,0.4780062672858914,0.5012307314544517,0.5247038109164716
ACAN,176,0.3539379911324987,0.6471475226700248,0.5171095453656886,0.5138056224628739,0.5183930758591955,0.4065454041206669,0.4389202317735981,0.4776279464571799,0.3288934811540353,0.40371484765031,0.4970933342894738,0.4577929255483778,0.3775992573318048,0.6490011577590246,0.5583684386979851,0.5355225427046864,0.5550292898142031,0.3470110991919241,0.4923550648354483,0.5178192517092385,0.4494503461859092,0.5245076176473469,0.5119688691303428,0.5163407661706175,0.4727330328646331,0.6676543601296561,0.4151202981467224,0.4778484464249891,0.35667430787473264,0.4573381221077073,0.5029211025250131,0.5003631922466187,0.5389076337026533,0.5304442870993568,0.522333092323401,0.5580448803660052,0.5557286441457373,0.5007164068200007,0.5182563437102002,0.4892481607900425,0.5490663567342241,0.5693203464435547,0.5505687543463207,0.3666336792187672,0.4669582289232133,0.37566574604085945,0.5140938430542348,0.4146197852356722,0.4816315674403053,0.4027179981419654,0.5613575555856922,0.4928130338076148,0.5716281617275355,0.5736036260935017,0.4701946657921101,0.5117642810299038,0.4616741859917216,0.5829710898557249,0.4784917624652474,0.4539245633909351,0.6171670334272585,0.4374718638752713,0.3933568726260064,0.4740912051723838,0.4492902335207595,0.524946505203224,0.6459001165782897,0.4206754277020205,0.4846250628362605,0.4632044672654401,0.4658140776534327,0.5620705268854734,0.4237529694558074,0.4454257868338097,0.3994525734446145,0.5627579640092343,0.5543847506900534,0.509769245844899,0.4980686274149437,0.5252501446077739,0.4510448457638668,0.4021033635850089,0.5057626911247978,0.4818253588098787,0.4729678577149313,0.442639517736232,0.3531329240575952,0.523397430992646,0.4211022866111863,0.5466180210018112,0.4130888735862597,0.5004768569217458,0.4830892839124436,0.457823868095273,0.4634082150296362,0.4012298499614939,0.37566704282278107,0.5763675122805704,0.6208142465375539,0.3934876952420521,0.5103453028027436,0.47798035299390895,0.5686724865527313,0.5131874783559139,0.5289723216879924,0.4982732642090684,0.5928341741690573,0.5788974600217659,0.618692271792934,0.5477169298017205,0.3833453505824834,0.5970268014103802,0.4545421157200018,0.5380800394058862,0.5083376935119586,0.4977373641894627,0.44616365295294536,0.5825651386956846,0.5076993571790785,0.5372792688465706,0.4747891446703909,0.4337174804189556,0.5537947612634414,0.5479283959301395,0.4374798576163684,0.4181328209449773,0.4759825084823681,0.5030307981487199
ACE,1636,0.552032820881345,0.4890723393682359,0.4335277071243775,0.5978485343851079,0.3156804044719391,0.5597020788521233,0.717260787660596,0.391391588633364,0.6021808208849979,0.7008260201648171,0.4409391519521323,0.3814966587502451,0.6450936590687993,0.4698300277014086,0.3551983043780688,0.6471869300354255,0.5599975823591731,0.4848092451988429,0.6296822627550385,0.6484294943798891,0.4925438677679104,0.4661784649205861,0.4267107774413237,0.3720308052973446,0.4921672233329293,0.5676069485971371,0.4695127403927184,0.4513584290913102,0.4501792628481037,0.4276132719145409,0.6028596196368367,0.5591601101233192,0.5678710166507195,0.5366428533878905,0.4150158120166229,0.34603290320873115,0.6789743205553835,0.5936463634349519,0.4493481427126799,0.5128225931605203,0.3694670399775222,0.5131694616734309,0.4833402768731253,0.41404970856061263,0.5068897037301703,0.5634814602172095,0.5274577585749305,0.4732972178884339,0.5838287186227881,0.5818696897719035,0.4807924427868176,0.5285749287549637,0.6201679704264161,0.5042504859395321,0.5646746176542506,0.5492813851579006,0.4989844840221899,0.4856507120272999,0.39698751873847776,0.463521996440045,0.5543405628540741,0.4688494521863367,0.5178916710059291,0.4524978121294247,0.3076743075029951,0.4519620863148964,0.4122977496300656,0.4704906883130264,0.4953214230132675,0.30340224357474,0.40484207605138006,0.5715775242654177,0.410436348607882,0.39454945796878016,0.4711887410731511,0.5438940613529439,0.5010239255433222,0.29976173299955994,0.5628259576214696,0.4459551760842091,0.520444783277003,0.34183651456957115,0.4165951360552628,0.42389952862103547,0.4624532202437205,0.5482312584406545,0.7109906536932924,0.5126914475661171,0.7005374118277763,0.5047785780450911,0.4927067737458974,0.5139734215438561,0.4315083729078764,0.5425004099002275,0.5503197215359651,0.6690724948536493,0.6008759855445553,0.5842320948452419,0.3804905018275271,0.4621902158761584,0.6351622732717589,0.5552507971544731,0.5824262295024194,0.3549306273637798,0.4715631906219512,0.5577834957339805,0.653373309127698,0.6030612477247141,0.4968311712327499,0.4908232169788106,0.5359984345998267,0.3424526482836599,0.6657857098501568,0.3915510734073156,0.3904923794403864,0.485192619102313,0.5551533509830772,0.5253902492915473,0.5131919246205672,0.4779380458565346,0.4375421545900585,0.5296945668517974,0.37296256143482337,0.5493251258283944,0.48873915784917205,0.4674805538510028,0.5214190513724271,0.5314621215123342
ACHE,43,0.5345455281805082,0.4452258678384721,0.5445330371789499,0.5450522609088858,0.4416435263225297,0.450241515305525,0.5036824630285873,0.4493865184749695,0.4246827950765323,0.5447661700481129,0.4460759505041534,0.4356435841251847,0.6217329518889023,0.5447963123694551,0.4761295972797564,0.4722496473302089,0.4212732541040562,0.5883200283204223,0.4665913688551345,0.523045123323859,0.39827740474336254,0.5522879843196196,0.5404206278037084,0.4772353185013013,0.5025725793162041,0.5424934329076425,0.4773751547110814,0.4472364535064712,0.5334407514054998,0.4548787265427025,0.4866677090198064,0.4728377130786088,0.4816844783757271,0.5808568904088857,0.5820450084207628,0.4758895801037293,0.6295389309556743,0.508103068809861,0.5321981930749574,0.458665757317112,0.5624148984123057,0.5079969177169545,0.5319937493857295,0.4626098171762629,0.4643027882281928,0.516854680166977,0.5251457862168537,0.4725234131550873,0.5365059703311221,0.4987160001531424,0.4937383063936005,0.4813074689569466,0.54157561099121,0.5749377742241305,0.4846280418089514,0.5692694764489804,0.4724657124915922,0.5143969629055796,0.4894582121749698,0.533375881786858,0.4442481343799056,0.4734836463503226,0.4915789986371061,0.5580290895117715,0.4179679093924445,0.4756473747550902,0.5970119376840698,0.5916956825297488,0.60630572671259,0.5075713806821064,0.5854184290623584,0.6123202160994309,0.4985674236264702,0.5356973328437421,0.4583693683529031,0.4259582878215503,0.5477122018892681,0.4459411054655387,0.4299428184707186,0.6160951670348437,0.602290965268528,0.3757127329055229,0.4477601081798616,0.5450011819951408,0.5258047005183522,0.4022121517471488,0.4916084032536887,0.5814216749638501,0.5776330181372711,0.4924303900006918,0.5921947726434992,0.5069675413159636,0.4206169223360423,0.4897154055997582,0.3939227494667105,0.4673601808273255,0.4413017445200909,0.4631190220074013,0.4652193935937626,0.5713182512379392,0.4770744279679505,0.44623046404463457,0.5999380118581207,0.4271738016335071,0.5553407827205743,0.4638692408295244,0.4979800744883117,0.4449048708191585,0.4535454803702288,0.5895853219901434,0.5406750232259941,0.47565345549931803,0.4221672351864936,0.4875775710677191,0.4931452360781052,0.5061655247150151,0.5653611509507541,0.43901024761790014,0.4543275479231126,0.4881161918402198,0.5854028901784178,0.4941546780093809,0.5822134857609584,0.4318229419844792,0.5166282700226249,0.5390888096007665,0.43327308893039146,0.488216070777161
ACTB,60,0.4325282642876425,0.4134194510543577,0.4085474687085763,0.5255585591240867,0.494497526744195,0.4987025199748117,0.530121301129781,0.537560252033041,0.4108925924094813,0.4752912321887024,0.5502479179221464,0.5082760179633723,0.5406711090887203,0.534087559097914,0.4619747415511505,0.5547114991989177,0.4416803091131381,0.5969615062145052,0.6116176147776468,0.5147196235164619,0.5145860662538224,0.3740275771628124,0.5149251323544395,0.485674166446577,0.5602778140699861,0.4716758052886437,0.5125063770612549,0.5121568309027853,0.4996471200334768,0.5853106295021114,0.5044099278973749,0.4874780227109508,0.5256225830384007,0.5285585344982359,0.6128481342070424,0.5158094629297727,0.5471375490263886,0.4386609905424937,0.4650356518328748,0.4988935476009093,0.4379020379718497,0.5432818773288409,0.5511545330153471,0.5275505752715273,0.5353846248036691,0.5177867673186287,0.4818482176393738,0.5265929386012056,0.5405700881902322,0.5443215607869183,0.4624039930326324,0.4531679799195701,0.5052060547998428,0.5520394116031081,0.47487338588775607,0.5495299097763067,0.4759152397763643,0.4157237580614922,0.50830701133194,0.6431504974021499,0.5286703576602129,0.5260911995792441,0.4871824828912879,0.4967670138648397,0.5282884646664939,0.41406822808871796,0.5160513581031423,0.5101438058056025,0.4787194371750937,0.5019711365623671,0.4277734080841468,0.5444543048786078,0.4865020351757996,0.6201715176042161,0.5920476286281732,0.6017688371961845,0.4548389627420679,0.5584182079332141,0.4659786494752444,0.5187944261510483,0.3540233645700782,0.5136131351200767,0.4353259053242095,0.505434278086252,0.4619798663964149,0.5138326407855931,0.5359084731796769,0.43738784640038825,0.4677306854055335,0.573302598576679,0.6293343201006022,0.4843078480010678,0.4621199323884047,0.37736396062667693,0.4850879977724084,0.3613171819238785,0.5197125136194832,0.519486345543749,0.4681729676597492,0.469923447109529,0.4106289883912987,0.567149281129077,0.5524515142088243,0.34538389459614344,0.4847230336147536,0.4314999573279519,0.5741673513255549,0.4736288841533898,0.5022647954268791,0.5269516046218383,0.4775748673737977,0.4391543590015772,0.5235223294829999,0.45716792643273,0.5171730865456323,0.46790950869757203,0.4941933189010039,0.4654572361941016,0.545761413360195,0.5648274895287629,0.4992474800955136,0.5276431682258871,0.5792829356084962,0.4929705360759257,0.6376981412056331,0.4205774364974527,0.4455668275937033,0.4254926726524548
ACTN2,88,0.3973523247587663,0.5774976243076372,0.5287385773708491,0.48070117326855705,0.5805305420071556,0.5264000348369217,0.556314879952001,0.4748209457566374,0.5514636893493295,0.4970911756473454,0.5316083828130274,0.4680445427013966,0.4498073091299013,0.4010293000661847,0.5171906270292838,0.4049840771641835,0.5149564363331351,0.6273763247167622,0.526668046647861,0.4307883027687784,0.5683909343647059,0.5331507335215422,0.4572115635023135,0.4957944439360597,0.5181306742920619,0.3644152410800112,0.4624815016845023,0.44166579426821,0.5537039129836738,0.5809635855857521,0.4320981342467794,0.4893249047395259,0.4979288227562089,0.4437181904828677,0.4937538600919814,0.4458210961374096,0.614794952595687,0.505708102074492,0.6117946764385456,0.5223206289067558,0.3957487623607968,0.5683806943010113,0.35794259088922203,0.4850360301328987,0.4859155024266398,0.4882781727039673,0.5506189226795688,0.6012092651807888,0.5875367840880974,0.3681460381785863,0.4040190490032308,0.4947078765467261,0.7038075351935968,0.5103200968708722,0.5299268397266057,0.4872548765291962,0.5227075390985061,0.5772778250669707,0.5431772173914818,0.42667070512497773,0.487196512787993,0.4548960662387753,0.44833289996117415,0.4727163515484943,0.5528586009766324,0.4872218232645577,0.4793496463695297,0.42928222261953175,0.5023585113493308,0.4230998621611397,0.4779165416576424,0.5379685853034917,0.5094748187433713,0.5768960223747223,0.6355306249219347,0.5051514525172809,0.5394120309388538,0.5173470403821998,0.4211164859256721,0.4461063710624921,0.5737469546389665,0.4754999644738197,0.5527728441604872,0.4830659681964009,0.4539151225320763,0.4671287590504408,0.5806533235500861,0.4802771077753317,0.51860622040311,0.5026824755884342,0.5816437228728728,0.5624668885354333,0.4831166225055904,0.4228600996487884,0.5029740625658371,0.4717914530171787,0.5880109996714351,0.4438302361929169,0.4543027034806666,0.4526244346795565,0.5298018413904442,0.4608534379575037,0.47310736807606196,0.5284180644937148,0.565856930681255,0.4293984258155282,0.5302412872183407,0.4985959090793421,0.5098096073387968,0.5072030749287525,0.4955208219809505,0.5473163365031591,0.5477703561790688,0.39252108045255946,0.547424361956502,0.4862520803159301,0.4350896781912379,0.4820326976893759,0.5455881010303476,0.4846510512772232,0.5743384304375492,0.5593409878806416,0.4726767445700547,0.5026064702434578,0.5028802427524754,0.5300244402257541,0.5862295990033234,0.4766413375139544
